12349;AKC1055;A0015402530;LAID T042/50
16092;076.176-10A;K16;A0029973130
16350;076.244-00A;A0004290927;
17176;02-01-10-0276;3421 601 016;A5410300105REST
22751;38557;;
33651;A9062030615;;
46152;F00VC17504;;
415052;830 502 0764;;
418150;125820;;
720469;A0025402381;A3565400381;463978
3191601;31475;;
001 TA 18023 000;001 TC 18023 000;A0100961799;A0100961799REST
001TA10948000;001TC10948000;A0070964699;02-07-01-0210
02-01-10-0276;17176;3421 601 016;A5410300105REST
02-02-05-0088;A9060160769;14-32172-01;
2403;A4220320271;;
5119;A4579901201;;
8507;A4031420212;;
1322586A;;;
1322643A;16-03-99-0203;;
2,52E+12;;;
53X3.5;1661255;;
85X3.5;1661256;;
9030077A;;;
9031988A;;;
A0001400594;;;
A0002501354;;;
A0002501562;9701500010;05-05-00-0279;A0002500562
A0002540017;35529;100265;57262
A0002540335;;;
A0002951173;;;
A0005435785;;;
A0005453739;;;
A0005456880;;;
A0009847329;;;
A0009900059;181415;;
A0009902907;FEB28407F;;
A0009905348;;;
A0009922129;;;
A0009970934;07007224A;;
A0009978134;49200055900;;
A0011554615;439211;;
A0019903999;;;
A0019915870;;;
A0019951910;A0019957510;A0019951910;
A0019952102;;;
A0019957510;A0019951910;;
A0025402381;720469;A3565400381;
A0035401581;;;
A0055425818;4410441010;4410441070;
A0059903470;;;
A0059904151;;;
A0059906104;4.40300;200.301;
A0079901401;00079901401;;
A0085456326;;;
A0109815625;01470;12789;02-01-10-0195
A0119970745;139938;OR60-4.5;
A0129970345;;;
A0129970545;;;
A0139971447;01475;766.829;112448;
A0139974045;;;
A0139974145;;;
A0139974445;;;
A0139977548;;;
A0149901001;;;
A0159974048;60531377;4.20457;
A0159974845;;;
A0179972945;A0039950802;;
A0179973345;;;
A0179976545;;;
A0189979245;;;
A0199975545;;;
A0219970545;;;
A0229979548;;;
A0239976448;152.610;F00HN35932;
A0239976548;F 00H N35 933;152.630;
A0239976848;447.020;F00HN359850;
A0249972848;088.872;495.980;
A0249978347;4.90908;;
A0259975047;354.090;445.600;
A0269974448;;;
A0280745902;A0280745902REST;F 00H N37 402;
A0289975648;F00HN37454;690190;
A0309972048;;;
A1084270074;;;
A1164230050;;;
A1201420072;;;
A123420007328;;;
A2014200589;;;
A20199002929051;7120283;;
A3059970345;003310;;
A4030320309;07720;834.289;;
A4220320271;02403;;
A4420310027;07719;;
A4702000970;A470200097080;02-05-02-0065;
A4719935196;A4719935896;;
A4722021119;A4722020219;47501;02-05-03-0229
A5410110180;075.913;;
A5410110380;;;
A5410151380;152.260;;
A5410151680;;;
A5410151780;;;
A5410300105;17176;02-01-10-0276;3421 601 016
A5410501722;24867;A5410501222;20 1003 500 60
A5411800209;OX 168D ECO;01-01-00-0695;HU1240X
A5419900501;12200;20080350010;
A5419900504;;;
A5419970645;2430210082;;
A9060170860;F00ZW00003;F 00Z W00 001;
A9060910580;002.070;;
A9063230292;112871;;
A9305460486;;;
A9329900071;A0069972371;;
A9403501035;24763;07-01-00-0413;
A9405280085;;;
A9424920140;40338;99730;
A9428301615;;;
A9429902804;19330;;
A9429950033;;;
A9429970290;40339;;
A9433340115;;;
A9463510072;14895;011.409-00A;4.40149
A9609880142;;;
A9702681997;;;
A9703560415;35075;90.26.1000;4.64780
F 00H N37 402;A0280745902;A0280745902REST;
N000000000414;N000000006617;;
N000000000957;SS-554;;
N000000003175;N00000000317564;;
N000000005461;;;
N000000005578;;;
N000000005915;;;
N000000006721;;;
N000000006723;;;
N000000007087;;;
N000472130000;5010571902;;
N007603045100;9.01029;;
N910105008005;;;
N910105010011;;;
N910143008005;;;
N910143008006;;;
N913023010002;;;
UAI141;1902987;EKWL.154;
