Pardavejo: KL-Serv komplektines saskaitos fakturos 
Sakatoje AKU-1823130 rastas komplektas: 05-01-00-1142, kiekis 1 vnt. Saskaitos komplektiskumas: 0.922222222222222.
Kitos saskaitoje esancios detales:
798613; 6550; 1; vnt.; 
812963; 001PL19619000; 3; vnt.; 
861329; 46700; 1; vnt.; 
874089; 2403; 3; vnt.; Komplekto detale.
875483; 14-02-01-0254; 1; vnt.; 
883231; 001 TA 18023 000; 1; vnt.; 
883233; 46700; 4; vnt.; 
886553; A0239976548; 3; vnt.; 
886555; A0239976448; 3; vnt.; 
917115; 02-03-03-0037; 12; vnt.; 
919141; 6040000031; 1; vnt.; 
923367; 5119; 12; vnt.; 
923369; 8507; 12; vnt.; 
925193; A5419970645; 2; vnt.; Komplekto detale.
926377; 7720; 1; vnt.; 
926804; 2403; 7; vnt.; Komplekto detale.
926809; A0004770103; 1; vnt.; 
926811; A0109815625; 1; vnt.; Komplekto detale.
927799; 001HS19621000; 1; kompl.; 
927813; KX72D2; 1; vnt.; 
927845; A5410700646; 1; vnt.; 
930402; 641464; 1; vnt.; 
931096; 641391; 1; vnt.; 
931368; A5419970645; 4; vnt.; Komplekto detale.
933336; A0139971447; 1; vnt.; Komplekto detale.
936559; 005WN1001; 1; vnt.; 
936894; A5410900151; 1; vnt.; 
937557; 001AS19623000; 1; kompl.; 
937558; 001PL19619000; 3; vnt.; 
938610; 01-01-00-0694; 1; vnt.; 
939555; A9060170860; 3; vnt.; Komplekto detale.
939782; AL24; 1; vnt.; 
940226; A9060170860; 3; vnt.; Komplekto detale.
940286; 22751; 1; vnt.; Komplekto detale.
940287; 22752; 1; vnt.; 
943294; TESA-53948; 1; vnt.; 
945618; A5421800801; 1; vnt.; 
945621; A5411800715; 1; vnt.; 
945651; N917003036003; 1; vnt.; 
945704; C41001KIT; 1; vnt.; 
946813; OR12x1; 1; vnt.; 
946814; OR12x1.5; 1; vnt.; 
946916; 20060350100; 6; vnt.; 
947207; 136228; 4; l.; 
947209; 147707; 2; vnt.; 
947247; 46700; 1; vnt.; 
947513; 005WN1001; 5; vnt.; 
948158; A5410110271; 8; vnt.; 
950851; A0239976448; 3; vnt.; 
950852; A0239976548; 3; vnt.; 
951020; REST492593; 1; vnt.; 
951572; PER60-027; 1; vnt.; 
951590; 12200; 24; vnt.; Analogas detalei A5419900501
952112; 10106501001; 1; vnt.; 
954413; REST5421; 1; vnt.; 
954418; REST96141; 1; vnt.; 
955028; 3689; 4; vnt.; 
955273; 620V; 16; vnt.; 
955274; 768812; 30; vnt.; 
955275; 113821; 27; vnt.; 
955276; 772399; 17; vnt.; 
955740; CAAZA0050; 4; vnt.; 
955886; TEGL4FUCHS; 6; l.; 
955887; TE10W40MOBILXHP; 41; l.; 
956544; 124680; 2; vnt.; 
956545; 12378; 2; vnt.; 
956583; KU1410; 1; vnt.; 

Sakatoje AKU-1823130 rastas komplektas: 03-01-02-0198, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
798613; 6550; 1; vnt.; 
812963; 001PL19619000; 3; vnt.; 
861329; 46700; 1; vnt.; 
874089; 2403; 3; vnt.; Komplekto detale.
875483; 14-02-01-0254; 1; vnt.; 
883231; 001 TA 18023 000; 1; vnt.; 
883233; 46700; 4; vnt.; 
886553; A0239976548; 3; vnt.; 
886555; A0239976448; 3; vnt.; 
917115; 02-03-03-0037; 12; vnt.; 
919141; 6040000031; 1; vnt.; 
923367; 5119; 12; vnt.; 
923369; 8507; 12; vnt.; 
925193; A5419970645; 2; vnt.; Komplekto detale.
926377; 7720; 1; vnt.; 
926804; 2403; 7; vnt.; Komplekto detale.
926809; A0004770103; 1; vnt.; 
926811; A0109815625; 1; vnt.; Komplekto detale.
927799; 001HS19621000; 1; kompl.; 
927813; KX72D2; 1; vnt.; 
927845; A5410700646; 1; vnt.; 
930402; 641464; 1; vnt.; 
931096; 641391; 1; vnt.; 
