Pardavejo: SL-Serv komplektines saskaitos fakturos 
Sakatoje AKU-1822581 rastas komplektas: 7811234AKIT, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
866997; 9031988A; 1; vnt.; Komplekto detale.
946486; L5627; 3; vnt.; 
953191; 16-03-99-0104; 1; m.; 
953192; 13557; 1; vnt.; 
953193; 2300964439; 0.04; vnt.; 

Sakatoje AKU-1823011 rastas komplektas: A0065451114, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
458706; A9425280382; 1; vnt.; 
776872; N000000007630; 1; vnt.; 
777353; N000000007630; 1; vnt.; 
777390; N000000007630; 1; vnt.; 
844304; 1881; 1; vnt.; 
903084; KTDET1; 1; vnt.; 
916711; 15167; 2; vnt.; 
921786; 13-02-01-0273; 1; vnt.; 
931893; 2845TSP; 3; vnt.; 
932868; 2300964439; 0.01; vnt.; 
939808; KTDET1; 1; vnt.; 
940933; L5627; 3; vnt.; 
945408; 2845TSP; 10; vnt.; 
947958; 10443; 2; vnt.; 
948104; A9443300560; 1; vnt.; 
948113; A0003301319; 1; vnt.; 
948120; N001481028006; 1; vnt.; 
948128; A3463340115; 1; vnt.; 
948130; 8009; 1; vnt.; 
948134; 6891; 1; vnt.; 
948135; 450443; 1; vnt.; 
948141; 490873; 1; vnt.; 
948144; 01019887B; 1; vnt.; 
948150; 420393; 1; vnt.; 
948400; KTDET1; 1; vnt.; 
948515; L7511; 3; vnt.; 
948523; KAISTIS817; 2; vnt.; 
948547; KTDET; 2; vnt.; 
948964; 133177; 1; vnt.; 
948989; 133177; 1; vnt.; 
948991; 16362; 1; vnt.; 
949286; A3603320662; 1; vnt.; 
949288; A3603321662; 1; vnt.; 
949290; A3603321562; 1; vnt.; 
949578; 12416; 2; vnt.; 
951292; 54700010; 1; vnt.; 
955843; TELICENT; 0.3; kg.; 
955857; TEGL5FUCHS; 2.5; l.; 

